,ticker,group_code,company_name,company_short_name
28,FUEDCMID,VNINDEX,Quỹ ETF DCVFMVNMIDCAP,Quỹ ETF DCVFMVNMIDCAP
29,FUEKIVFS,VNINDEX,Quỹ ETF KIM GROWTH VNFINSELECT,KIM GROWTH VNFINSELECT ETF
30,GCF,UpcomIndex,Công ty Cổ phần Thực phẩm G.C,Thực phẩm G.C
31,LPT,UpcomIndex,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,TM và SX Lập Phương Thành
32,AAA,VNINDEX,Công ty Cổ phần Nhựa An Phát Xanh,An Phát Bioplastics
33,AAM,VNINDEX,Công ty Cổ Phần Thủy Sản MeKong,Thủy sản Mekong
34,AAT,VNINDEX,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Tập đoàn Tiên Sơn Thanh Hóa
35,AAV,HNXIndex,Công ty Cổ phần AAV Group,Việt Tiên Sơn Địa ốc
36,ABB,UpcomIndex,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng An Bình
37,ABI,UpcomIndex,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,BH NH Nông Nghiệp
38,ABR,VNINDEX,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Đầu tư Nhãn Hiệu Việt
39,ABS,VNINDEX,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,DV Nông nghiệp Bình Thuận
40,ABT,VNINDEX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Thủy sản Bến Tre
41,ACB,VNINDEX,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Á Châu
42,ACC,VNINDEX,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Đầu tư và XD Bình Dương ACC
43,ACE,UpcomIndex,Công ty Cổ phần Bê tông ly tâm An Giang,Bê tông An Giang
44,ACL,VNINDEX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Thủy sản CL An Giang
45,ACM,UpcomIndex,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Tập đoàn Khoáng sản Á Cường
46,ACS,UpcomIndex,Công ty Cổ phần Xây lắp Thương mại 2,Xây lắp Thương mại 2
47,ACV,UpcomIndex,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Cảng Hàng không VN
48,ADC,HNXIndex,Công ty Cổ phần Mĩ thuật và Truyền thông,Mĩ thuật và Truyền thông
49,ADP,UpcomIndex,Công ty Cổ phần Sơn Á Đông,Sơn Á Đông
50,AFX,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,XNK Nông sản An Giang
51,AGF,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,Thủy sản An Giang
52,CKA,UpcomIndex,Công ty Cổ phần Cơ khí An Giang,Cơ khí An Giang
53,AGP,UpcomIndex,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Dược phẩm AGIMEXPHARM
54,AGM,VNINDEX,Công ty Cổ phần Xuất nhập khẩu An Giang,XNK An Giang
55,CAG,HNXIndex,Công ty Cổ phần Cảng An Giang,Cảng An Giang
56,LTG,UpcomIndex,Công ty Cổ phần Tập đoàn Lộc Trời,Tập đoàn Lộc Trời (BVTV An Giang)
57,AGR,VNINDEX,Công ty Cổ phần Chứng khoán AGRIBANK,Agriseco
58,AGG,VNINDEX,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản An Gia
59,AGX,UpcomIndex,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Nông sản Xuất khẩu Sài Gòn
60,AG1,UpcomIndex,Công ty Cổ phần 28.1,28.1 JSC
61,AGE,UpcomIndex,Công ty Cổ phần Môi trường Đô thị An Giang,Môi trường Đô thị An Giang
62,ALT,HNXIndex,Công ty Cổ phần Văn hóa Tân Bình,Văn hóa Tân Bình
63,ALV,UpcomIndex,Công ty Cổ phần Xây dựng ALVICO,Xây dựng ALVICO
64,AMC,HNXIndex,Công ty Cổ phần Khoáng sản Á Châu,Khoáng sản Á Châu
65,AMD,VNINDEX,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,FLC Stone
66,AME,HNXIndex,Công ty cổ phần Alphanam E&C,Cơ điện Alphanam
67,AMP,UpcomIndex,Công ty Cổ phần Armephaco,Armephaco
68,AMV,HNXIndex,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dược-TB Y tế Việt Mỹ
69,ACG,VNINDEX,Công ty Cổ phần Gỗ An Cường,Gỗ An Cường
70,ANT,UpcomIndex,Công ty Cổ phần Rau quả Thực phẩm An Giang,Rau quả thực phẩm An Giang
71,ANV,VNINDEX,Công ty Cổ phần Nam Việt,Thủy sản Nam Việt
72,APC,VNINDEX,Công ty Cổ phần Chiếu xạ An Phú,Chiếu xạ An Phú
73,APF,UpcomIndex,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Nông sản Quảng Ngãi
74,APG,VNINDEX,Công ty Cổ phần Chứng khoán APG,Chứng khoán APG
75,APH,VNINDEX,Công ty Cổ phần Tập đoàn An Phát Holdings,Tập đoàn An Phát Holdings
76,API,HNXIndex,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,APEC INVESTMENT
77,APL,UpcomIndex,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,Cơ khí và Thiết bị áp lực - VVMI
78,APP,UpcomIndex,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,Phụ gia và SP Dầu mỏ
79,APS,HNXIndex,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,CK Châu Á - TBD
80,HII,VNINDEX,Công ty Cổ phần An Tiến Industries,An Tiến Industries
81,ARM,HNXIndex,Công ty Cổ phần Xuất nhập khẩu Hàng không,XNK Hàng không
82,ASA,UpcomIndex,Công ty Cổ phần ASA,Hàng tiêu dùng ASA
83,A32,UpcomIndex,Công ty Cổ phần 32,Công ty 32
84,ASG,VNINDEX,Công ty Cổ phần Tập đoàn ASG,Tập đoàn ASG
85,ASM,VNINDEX,Công ty Cổ phần Tập đoàn Sao Mai,Tập đoàn Sao Mai
86,ASP,VNINDEX,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Dầu khí An Pha
87,ATA,UpcomIndex,Công ty Cổ phần NTACO,NTACO
88,ATG,UpcomIndex,Công ty Cổ phần An Trường An,An Trường An
89,ATB,UpcomIndex,Công ty Cổ phần An Thịnh,Công ty An Thịnh
90,ATS,HNXIndex,Công ty Cổ phần Tập đoàn Dược phẩm Atesco,"ATESCO.,JSC"
91,AVF,UpcomIndex,Công ty Cổ phần Việt An,Thủy sản Việt An
92,AVC,UpcomIndex,Công ty Cổ phần Thủy điện A Vương,Thủy điện A Vương
93,B82,UpcomIndex,Công ty Cổ phần 482,Công ty 482
94,BAF,VNINDEX,Công ty cổ phần Nông nghiệp BAF Việt Nam,Nông nghiệp BAF Việt Nam
95,BAL,UpcomIndex,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Bao bì Balpac
96,BCV,UpcomIndex,Công ty cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico
97,BNA,HNXIndex,Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc,Đầu tư SX Bảo Ngọc
98,BRR,UpcomIndex,Công ty Cổ phần Cao su Bà Rịa,Cao su Bà Rịa
99,CBC,UpcomIndex,Công ty Cổ phần Chè Bàu Cạn,Chè Bàu Cạn
100,BLW,UpcomIndex,Công ty Cổ phần Cấp nước Bạc Liêu,Cấp nước Bạc Liêu
101,BBC,VNINDEX,Công ty Cổ phần Bibica,Bánh kẹo BIBICA
102,VLB,UpcomIndex,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,VLXD Biên Hòa
103,BBH,UpcomIndex,Công ty Cổ phần Bao bì Hoàng Thạch,Bao bì Hoàng Thạch
104,BBS,HNXIndex,Công ty Cổ phần VICEM Bao bì Bút Sơn,Bao bì Xi măng Bút Sơn
105,BBT,UpcomIndex,Công ty Cổ phần Bông Bạch Tuyết,Bông Bạch Tuyết
106,BCB,UpcomIndex,Công ty Cổ phần 397,Công ty 397
107,BCC,HNXIndex,Công ty Cổ phần Xi măng Bỉm Sơn,Xi măng Bỉm Sơn
108,BCE,VNINDEX,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,XD và GT Bình Dương
109,BCG,VNINDEX,Công ty Cổ phần Tập đoàn Bamboo Capital,Bamboo Capital
110,BCP,UpcomIndex,Công ty Cổ phần Dược Enlie,Dược Enlie
111,BDB,HNXIndex,Công ty Cổ phần Sách và Thiết bị Bình Định,Sách Bình Định
112,MVC,UpcomIndex,Công ty Cổ phần Vật liệu và Xây dựng Bình Dương,Vật liệu và XD Bình Dương
113,BFC,VNINDEX,Công ty Cổ phần Phân bón Bình Điền,Phân bón Bình Điền
114,BDG,UpcomIndex,Công ty Cổ phần May mặc Bình Dương,May mặc Bình Dương
115,BSA,UpcomIndex,Công ty Cổ phần Thủy điện Buôn Đôn,Thủy điện Buôn Đôn
116,PRT,UpcomIndex,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,Sản xuất - XNK Bình Dương
117,BDW,UpcomIndex,Công ty Cổ phần Cấp thoát nước Bình Định,Cấp thoát nước Bình Định
118,BED,HNXIndex,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Sách Đà Nẵng
119,BEL,UpcomIndex,Công ty Cổ phần Điện tử Biên Hòa,Điện tử Biên Hoà
120,NBT,UpcomIndex,Công ty Cổ phần Cấp thoát nước Bến Tre,Cấp thoát nước Bến Tre
121,BGW,UpcomIndex,Công ty Cổ phần Nước sạch Bắc Giang,Nước sạch Bắc Giang
122,BHA,UpcomIndex,Công ty cổ phần Thủy điện Bắc Hà,Thủy điện Bắc Hà
123,BHC,UpcomIndex,Công ty Cổ phần Bê tông Biên Hòa,Bê tông Biên Hòa
124,BHK,UpcomIndex,Công ty Cổ phần Bia Hà Nội - Kim Bài,Bia Hà Nội - Kim Bài
125,BHN,VNINDEX,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,HABECO
126,BHP,UpcomIndex,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Bia Hà Nội - Hải Phòng
127,BHT,UpcomIndex,Công ty Cổ phần Đầu tư Xây dựng Bạch Đằng TMC,Đầu tư XD Bạch Đằng
128,BIC,VNINDEX,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm BIDV
129,BID,VNINDEX,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,BIDV
130,BCM,VNINDEX,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Becamex IDC
131,BLT,UpcomIndex,Công ty Cổ phần Lương thực Bình Định,Lương Thực Bình Định
132,DBD,VNINDEX,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định,Dược - TB Y tế Bình Định
133,BHG,UpcomIndex,Công ty Cổ phần Chè Biển Hồ,Chè Biển Hồ
134,BII,HNXIndex,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,Đầu tư và Phát triển Công nghiệp Bảo Thư
135,BIO,UpcomIndex,Công ty Cổ phần Vắc xin và Sinh phẩm Nha Trang,Vắc xin và Sinh phẩm Nha Trang
136,BWE,VNINDEX,Công ty Cổ phần Nước - Môi trường Bình Dương,Nước - Môi trường Bình Dương
137,BKC,HNXIndex,Công ty Cổ phần Khoáng sản Bắc Kạn,Khoáng sản Bắc Kạn
138,BKG,VNINDEX,Công ty Cổ phần Đầu tư BKG Việt Nam,Đầu tư BKG Việt Nam
139,BLF,HNXIndex,Công ty Cổ phần Thủy sản Bạc Liêu,Thủy sản Bạc Liêu
140,BLI,UpcomIndex,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,Bảo hiểm Nhà Rồng
141,MH3,UpcomIndex,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,KCN Cao su Bình Long
142,DTB,UpcomIndex,Công ty Cổ phần Công trình Đô thị Bảo Lộc,Công trình Đô thị Bảo Lộc
143,BMC,VNINDEX,Công ty Cổ phần Khoáng sản Bình Định,Khoáng sản Bình Định
144,BMD,UpcomIndex,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Môi trường và DV Đô thị Bình Thuận
145,BMF,UpcomIndex,Công ty Cổ phần Vật liệu Xây dựng và Chất đốt Đồng Nai,VLXD và Chất đốt Đồng Nai
146,BMI,VNINDEX,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm Bảo Minh
147,BMG,UpcomIndex,Công ty Cổ phần May Bình Minh,May Bình Minh
148,BMJ,UpcomIndex,Công ty Cổ phần Khoáng sản Miền Đông AHP,Khoáng sản Miền Đông AHP
149,BMN,UpcomIndex,Công ty Cổ phần 715,Công ty 715
150,BMP,VNINDEX,Công ty Cổ phần Nhựa Bình Minh,Nhựa Bình Minh
151,BMS,UpcomIndex,Công ty Cổ phần Chứng khoán Bảo Minh,Chứng khoán Bảo Minh
152,MBN,UpcomIndex,Công ty Cổ phần Môi trường và Công trình đô thị Bắc Ninh,Môi trường và Công trình ĐT Bắc Ninh
153,BNW,UpcomIndex,Công ty Cổ phần Nước sạch Bắc Ninh,Nước sạch Bắc Ninh
154,BOT,UpcomIndex,Công ty Cổ phần BOT Cầu Thái Hà,BOT Cầu Thái Hà
155,BPC,HNXIndex,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Bao bì Bỉm Sơn
156,BRC,VNINDEX,Công ty Cổ phần Cao su Bến Thành,Cao su Bến Thành
157,BRS,UpcomIndex,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,Dịch vụ Đô thị Bà Rịa
158,VTG,UpcomIndex,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,Du lịch tỉnh BR-VT
159,BSC,HNXIndex,Công ty Cổ phần Dịch vụ Bến Thành,Dịch vụ Bến Thành
160,BSP,UpcomIndex,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Bia Sài Gòn - Phú Thọ
161,BSI,VNINDEX,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,Chứng khoán BIDV
162,BSR,UpcomIndex,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Lọc - Hóa dầu Bình Sơn
163,BST,HNXIndex,Công ty Cổ phần Sách và Thiết bị Bình Thuận,Sách và Thiết bị Bình Thuận
164,BT6,UpcomIndex,Công ty Cổ phần BETON 6,Bê tông 6
165,BTG,UpcomIndex,Công ty Cổ phần Bao bì Tiền Giang,Bao bì Tiền Giang
166,BTH,UpcomIndex,Công ty Cổ phần Chế tạo Biến thế và Vật liệu Điện Hà Nội,Biến thế và Vật liệu Điện Hà Nội
167,BTN,UpcomIndex,Công ty Cổ phần Gạch Tuy Nen Bình Định,Gạch Tuy Nen Bình Định
168,BTP,VNINDEX,Công ty Cổ phần Nhiệt điện Bà Rịa,Nhiệt điện Bà Rịa
169,BTS,HNXIndex,Công ty Cổ phần Xi măng VICEM Bút Sơn,Xi măng Bút Sơn
170,BTT,VNINDEX,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,TM - DV Bến Thành
171,BTD,UpcomIndex,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Bê tông ly tâm Thủ Đức
172,BTV,UpcomIndex,Công ty Cổ phần Dịch vụ Du lịch Bến Thành,DV Du lịch Bến Thành
173,BTU,UpcomIndex,Công ty Cổ phần Công trình Đô thị Bến Tre,Công trình Đô thị Bến Tre
174,BTW,HNXIndex,Công ty Cổ phần Cấp nước Bến Thành,Cấp nước Bến Thành
175,BLN,UpcomIndex,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,Xe buýt Liên Ninh
176,BVG,UpcomIndex,Công ty cổ phần Group Bắc Việt,Group Bắc Việt
177,BVH,VNINDEX,Tập đoàn Bảo Việt,Tập đoàn Bảo Việt
178,BVN,UpcomIndex,Công ty Cổ phần Bông Việt Nam,Bông Việt Nam
179,TNH,VNINDEX,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,Bệnh viện Quốc tế Thái Nguyên
180,BVS,HNXIndex,Công ty Cổ phần Chứng khoán Bảo Việt,Chứng khoán Bảo Việt
181,BWA,UpcomIndex,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,Cấp thoát nước và Xây dựng Bảo Lộc
182,BWS,UpcomIndex,Công ty Cổ phần Cấp Nước Bà Rịa - Vũng Tàu,Cấp Nước Bà Rịa Vũng Tàu
183,BXH,HNXIndex,Công ty Cổ phần VICEM Bao bì Hải Phòng,Bao bì Xi măng HP
184,HNB,UpcomIndex,Công ty Cổ phần Bến xe Hà Nội,Bến xe Hà Nội
185,C69,HNXIndex,Công ty Cổ phần Xây dựng 1369,Xây dựng1369
186,C21,UpcomIndex,Công ty Cổ phần Thế kỷ 21,Thế kỷ 21
187,C22,UpcomIndex,Công ty Cổ phần 22,Công ty 22
188,C32,VNINDEX,Công ty Cổ phần CIC39,CIC39
189,C47,VNINDEX,Công ty Cổ phần Xây dựng 47,Xây dựng 47
190,C71,UpcomIndex,Công ty Cổ phần 471,Xây dựng 471
191,TS3,UpcomIndex,Công ty Cổ phần Trường Sơn 532,Trường Sơn 532
192,C92,UpcomIndex,Công ty Cổ phần Xây dựng và Đầu tư 492,Xây dựng và Đầu tư 492
193,CAD,UpcomIndex,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Thủy sản Cadovimex
194,CPA,UpcomIndex,Công ty Cổ phần Cà phê Phước An,Cà phê Phước An
195,CFV,UpcomIndex,Công ty Cổ phần Cà phê Thắng Lợi,Cà phê Thắng Lợi
196,CAN,HNXIndex,Công ty Cổ phần Đồ hộp Hạ Long,Đồ hộp Hạ Long
197,CCT,UpcomIndex,Công ty Cổ phần Cảng Cần Thơ,Cảng Cần Thơ
198,CAP,HNXIndex,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Lâm nông sản Yên Bái
199,CCA,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,XNK Thuỷ sản Cần Thơ
200,HFB,UpcomIndex,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,Công trình Cầu phà TP HCM
201,CAV,VNINDEX,Công ty Cổ phần Dây cáp điện Việt Nam,Dây cáp điện Việt Nam
202,CMW,UpcomIndex,Công ty Cổ phần Cấp nước Cà Mau,Cấp nước Cà Mau
203,KCB,UpcomIndex,Công ty Cổ phần Khoáng Sản và Luyện Kim Cao Bằng,Khoáng Sản Luyện Kim Cao Bằng
204,CBS,UpcomIndex,Công ty Cổ phần Mía đường Cao Bằng,Mía đường Cao Bằng
205,CCI,VNINDEX,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,CIDICO
206,CCL,VNINDEX,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
207,VSM,HNXIndex,Công ty Cổ phần Container Miền Trung,Container Miền Trung
208,CCM,UpcomIndex,Công ty Cổ phần Khoáng sản và Xi măng Cần Thơ,Xi măng Cần Thơ
209,CCR,HNXIndex,Công ty Cổ phần Cảng Cam Ranh,Cảng Cam Ranh
210,CDC,VNINDEX,Công ty Cổ phần Chương Dương,Chương Dương Corp
211,CDH,UpcomIndex,Công ty Cổ phần Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,CTCC và DV Du lịch Hải Phòng
212,CDG,UpcomIndex,Công ty Cổ phần Cầu Đuống,VLXD Cầu Đuống
213,CDO,UpcomIndex,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,Tư vấn Thiết kế và PT Đô thị
214,CEN,UpcomIndex,Công ty Cổ phần CENCON Việt Nam,CENCON Việt Nam
215,CRE,VNINDEX,Công ty Cổ phần Bất động sản Thế Kỷ,Bất động sản Thế Kỷ
216,STK,VNINDEX,Công ty Cổ phần Sợi Thế Kỷ,Sợi Thế Kỷ
217,CEO,HNXIndex,Công ty Cổ phần Tập đoàn C.E.O,Tập đoàn CEO
218,TW3,UpcomIndex,Công ty Cổ phần Dược Trung Ương 3,Dược TW3
219,CFM,UpcomIndex,Công ty Cổ phần Đầu tư CFM,Đầu tư CFM
220,CH5,UpcomIndex,Công ty Cổ phần Xây dựng số 5 Hà Nội,Xây dựng số 5 Hà Nội
221,CHC,UpcomIndex,Công ty Cổ phần Cẩm Hà,Nội thất Cẩm Hà
222,CLX,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),XNK và Đầu tư Chợ Lớn (CHOLIMEX)
223,CHP,VNINDEX,Công ty Cổ phần Thủy điện Miền Trung,Thủy điện Miền Trung
224,CI5,UpcomIndex,Công ty Cổ phần Đầu tư Xây dựng số 5,Đầu tư Xây dựng số 5
225,CID,UpcomIndex,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Xây dựng và Phát triển Cơ sở Hạ tầng
226,CE1,UpcomIndex,Công ty Cổ phần Xây dựng và Thiết bị Công nghiệp CIE1,Thiết bị Công nghiệp CIE1
227,CEG,UpcomIndex,Công ty Cổ phần Tập đoàn Xây dựng và Thiết bị Công nghiệp,XD và Thiết bị Công nghiệp
228,C4G,UpcomIndex,Công ty Cổ phần Tập Đoàn Cienco4,Tập Đoàn Cienco4
229,C12,UpcomIndex,Công ty Cổ phần Cầu 12,Cầu 12
230,CIG,VNINDEX,Công ty Cổ phần COMA 18,Xây dựng COMA 18
231,CII,VNINDEX,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Hạ tầng Kỹ thuật TP.HCM
232,CKG,VNINDEX,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Xây dựng Kiên Giang
233,CIP,UpcomIndex,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp,XL và SX công nghiệp
234,CBI,UpcomIndex,Công ty Cổ phần Gang thép Cao Bằng,Gang thép Cao Bằng
235,CJC,HNXIndex,Công ty Cổ phần Cơ điện Miền Trung,Cơ điện Miền Trung
236,CK8,UpcomIndex,Công ty Cổ phần Cơ khí 120,Cơ khí 120
237,CKD,UpcomIndex,Công ty Cổ phần Cơ khí Đông Anh Licogi,Đông Anh Licogi
238,CMK,UpcomIndex,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin,Cơ khí Mạo Khê - Vinacomin
239,CKV,HNXIndex,Công ty Cổ phần CokyVina,CokyVina
240,CLC,VNINDEX,Công ty Cổ phần Cát Lợi,Thuốc lá Cát Lợi
241,ADG,VNINDEX,Công ty Cổ phần Clever Group,Clever Group
242,CLG,UpcomIndex,Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec,Cotec Land
243,CLL,VNINDEX,Công ty Cổ phần Cảng Cát Lái,Cảng Cát Lái
244,CMF,UpcomIndex,Công ty Cổ phần Thực phẩm Cholimex,Thực phẩm Cholimex
245,CLW,VNINDEX,Công ty Cổ phần Cấp nước Chợ Lớn,Cấp nước Chợ Lớn
246,TVH,UpcomIndex,Công ty Cổ phần Tư vấn Xây dựng công trình Hàng hải,Tư vấn XD công trình Hàng hải
247,CMC,HNXIndex,Công ty Cổ phần Đầu tư CMC,Đầu tư CMC
248,MCT,UpcomIndex,Công ty Cổ phần Kinh doanh Vật tư và Xây dựng,Kinh doanh vật tư và XD
249,TIN,UpcomIndex,Công ty Tài chính Cổ phần Tín Việt,Tài chính Cổ phần Tín Việt
250,CMG,VNINDEX,Công ty Cổ phần Tập đoàn Công nghệ CMC,Tập đoàn Công nghệ CMC
251,CMI,UpcomIndex,Công ty Cổ phần CMISTONE Việt Nam,CMISTONE Việt Nam
252,CMD,UpcomIndex,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh,VLXD và Nội thất TP.HCM
253,CMP,UpcomIndex,Công ty Cổ phần Cảng Chân Mây,Cảng Chân Mây
254,CMS,HNXIndex,Công ty Cổ phần Tập đoàn CMH Việt Nam,CMH Group
255,CAT,UpcomIndex,Công ty Cổ phần Thủy sản Cà Mau,Thủy sản Cà Mau
256,CMT,UpcomIndex,Công ty Cổ phần Công nghệ mạng và Truyền thông,CN mạng và Truyền thông
257,CMV,VNINDEX,Công ty Cổ phần Thương nghiệp Cà Mau,Thương nghiệp Cà Mau
258,CMX,VNINDEX,Công ty Cổ phần CAMIMEX Group,CAMIMEX Group
259,CNC,UpcomIndex,Công ty Cổ phần Công nghệ cao Traphaco,Công nghệ cao Traphaco
