,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
45,UPCOM,Tập đoàn Khoáng sản Á Cường,166.0,1775,Tài nguyên Cơ bản,Basic Resources,1996,17.0,1448.0,0.018,http://www.acuonggroup.vn,3.6,0.013,0.064,-0.465,51.0,51.0,CT,ACM,,,,
46,UPCOM,Xây lắp Thương mại 2,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004,154.0,152.0,0.002,http://www.acsc.com.vn,3.1,0.013,0.064,0.376,4.0,4.0,CT,ACS,,,,
47,UPCOM,Cảng Hàng không VN,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2012,0.0,8633.0,0.038,https://www.vietnamairport.vn,3.6,-0.001,0.041,0.176,2177.0,2177.2,CT,ACV,,,,
48,HNX,Mĩ thuật và Truyền thông,256.0,5557,Truyền thông,Media,2006,354.0,208.0,0.086,http://adc.net.vn/,4.1,0.001,-0.036,0.012,4.0,4.0,CT,ADC,,,,
49,UPCOM,Sơn Á Đông,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,1970,170.0,0.0,0.008,http://www.adongpaint.com.vn,3.9,-0.068,0.153,0.034,23.0,23.0,CT,ADP,,,,
50,UPCOM,XNK Nông sản An Giang,248.0,5337,Bán lẻ,Retail,2011,239.0,751.0,0.0,http://www.afiex.com.vn,3.3,0.033,-0.001,-0.061,35.0,35.0,CT,AFX,,,,
51,UPCOM,Thủy sản An Giang,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2001,1860.0,0.0,0.005,http://www.agifish.com.vn,3.3,0.013,0.237,-0.055,28.1,28.1,CT,AGF,,,,
52,UPCOM,Cơ khí An Giang,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2007,190.0,185.0,0.002,http://www.cokhiangiang.com.vn,3.5,0.095,0.164,0.547,3.3,3.3,CT,CKA,,,,
53,UPCOM,Dược phẩm AGIMEXPHARM,238.0,4577,Y tế,Health Care,1981,364.0,627.0,0.0,http://www.agimexpharm.com,3.8,0.07,0.121,0.544,18.0,18.0,CT,AGP,,,,
54,HOSE,XNK An Giang,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,1976,207.0,333.0,0.019,http://www.angimex.com.vn,3.6,-0.048,-0.121,-0.588,18.2,18.2,CT,AGM,,,,
55,HNX,Cảng An Giang,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2011,120.0,1025.0,0.002,http://www.angiangport.com.vn,3.7,0.052,0.039,-0.303,13.8,13.8,CT,CAG,,,,
56,UPCOM,Tập đoàn Lộc Trời (BVTV An Giang),151.0,1357,Hóa chất,Chemicals,2004,3420.0,2521.0,0.397,http://www.agpps.com.vn,3.7,-0.02,0.006,0.011,80.6,80.6,CT,LTG,,,,
57,HOSE,Agriseco,300.0,8777,Dịch vụ tài chính,Financial Services,2000,137.0,3968.0,0.003,https://www.agriseco.com.vn/,3.7,0.013,-0.007,-0.318,215.4,212.0,CK,AGR,,,,
58,HOSE,Bất động sản An Gia,336.0,8633,Bất động sản,Real Estate,2012,207.0,4895.0,0.049,https://angia.com.vn/,3.7,0.006,0.05,0.001,125.1,125.1,CT,AGG,,,,
59,UPCOM,Nông sản Xuất khẩu Sài Gòn,248.0,5337,Bán lẻ,Retail,2006,832.0,238.0,0.017,http://www.agrexsaigon.com.vn,3.6,-0.009,0.184,0.458,10.8,10.8,CT,AGX,,,,
60,UPCOM,28.1 JSC,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2006,632.0,196.0,0.001,http://www.agtex28-1.com,3.8,-0.044,0.064,-0.032,4.9,4.9,CT,AG1,,,,
61,UPCOM,Môi trường Đô thị An Giang,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2011,686.0,0.0,0.0,http://www.moitruongdothi.angiang.org.vn,3.6,0.013,-0.052,,19.9,19.9,CT,AGE,,,,
62,HNX,Văn hóa Tân Bình,256.0,5557,Truyền thông,Media,1989,263.0,477.0,0.032,http://www.alta.com.vn,4.2,0.095,0.131,0.166,5.7,6.2,CT,ALT,,,,
63,UPCOM,Xây dựng ALVICO,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2008,15.0,115.0,0.016,http://www.alvico.vn,4.1,0.013,0.037,-0.211,5.7,5.7,CT,ALV,,,,
64,HNX,Khoáng sản Á Châu,166.0,1775,Tài nguyên Cơ bản,Basic Resources,2001,113.0,102.0,0.052,http://www.amcvina.vn,4.1,0.013,0.086,0.267,2.9,2.9,CT,AMC,,,,
65,HOSE,FLC Stone,336.0,8633,Bất động sản,Real Estate,2007,140.0,20584.0,0.008,https://flcstone.vn,3.5,-0.036,0.196,-0.474,163.5,163.5,CT,AMD,,,,
66,HNX,Cơ điện Alphanam,187.0,2737,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1995,92.0,238.0,0.022,http://www.alphanam.com.vn,3.5,0.013,0.054,0.165,65.2,65.2,CT,AME,,,,
67,UPCOM,Armephaco,238.0,4577,Y tế,Health Care,2010,266.0,186.0,0.0,http://www.armephaco.com.vn,3.3,0.013,0.064,-0.017,13.0,13.0,CT,AMP,,,,
68,HNX,Dược-TB Y tế Việt Mỹ,235.0,4535,Y tế,Health Care,2002,13.0,341.0,0.005,http://amvibiotech.com,4.1,0.038,0.089,-0.434,131.1,131.1,CT,AMV,,,,
69,HOSE,Gỗ An Cường,155.0,1733,Tài nguyên Cơ bản,Basic Resources,2006,2959.0,477.0,0.385,https://www.ancuong.com,3.9,-0.036,-0.022,-0.062,135.8,135.8,CT,ACG,,,,
70,UPCOM,Rau quả thực phẩm An Giang,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2011,598.0,357.0,0.003,http://www.antesco.com,3.3,0.104,0.564,0.052,8.0,8.0,CT,ANT,,,,
71,HOSE,Thủy sản Nam Việt,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2006,4634.0,0.0,0.061,http://www.navicorp.com.vn,3.8,-0.008,0.062,0.209,127.1,127.5,CT,ANV,,,,
72,HOSE,Chiếu xạ An Phú,237.0,4573,Y tế,Health Care,2003,215.0,1467.0,0.152,http://www.apic.com.vn,3.6,0.032,0.049,-0.169,19.9,20.1,CT,APC,,,,
73,UPCOM,Nông sản Quảng Ngãi,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2003,899.0,570.0,0.0,http://www.apfco.com.vn,4.1,0.005,0.045,0.743,22.6,22.6,CT,APF,,,,
74,HOSE,Chứng khoán APG,300.0,8777,Dịch vụ tài chính,Financial Services,2007,31.0,11264.0,0.008,http://www.apsi.vn,3.9,0.056,0.174,-0.346,146.3,146.3,CK,APG,,,,
75,HOSE,Tập đoàn An Phát Holdings,184.0,2723,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2017,0.0,0.0,0.301,http://www.anphatholdings.com,3.4,-0.033,-0.025,-0.429,243.9,243.9,CT,APH,,,,
76,HNX,APEC INVESTMENT,336.0,8633,Bất động sản,Real Estate,2006,232.0,2495.0,0.001,https://apeci.com.vn,3.7,-0.042,-0.125,-0.435,84.1,84.1,CT,API,,,,
77,UPCOM,Cơ khí và Thiết bị áp lực - VVMI,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004,113.0,117.0,0.0,http://www.apluco.vn,3.3,0.013,0.064,0.561,1.2,1.2,CT,APL,,,,
78,UPCOM,Phụ gia và SP Dầu mỏ,151.0,1357,Hóa chất,Chemicals,1996,97.0,597.0,0.005,http://www.app.com.vn,3.5,-0.157,0.02,-0.298,4.7,4.7,CT,APP,,,,
79,HNX,CK Châu Á - TBD,300.0,8777,Dịch vụ tài chính,Financial Services,2006,45.0,1837.0,0.013,https://apec.com.vn/,3.9,-0.008,-0.077,-0.424,83.0,83.0,CK,APS,,,,
80,HOSE,An Tiến Industries,150.0,1353,Hóa chất,Chemicals,2009,460.0,974.0,0.005,http://www.antienindustries.com,3.7,-0.019,0.007,-0.387,73.7,73.7,CT,HII,,,,
81,HNX,XNK Hàng không,198.0,2797,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1989,100.0,115.0,0.001,http://www.airimex.vn,3.4,0.013,0.064,0.22,3.1,3.1,CT,ARM,,,,
82,UPCOM,Hàng tiêu dùng ASA,228.0,3767,Hàng cá nhân & Gia dụng,Personal & Household Goods,2007,12.0,675.0,0.003,http://www.asacorp.com.vn,3.7,0.013,0.064,0.302,10.0,10.0,CT,ASA,,,,
83,UPCOM,Công ty 32,227.0,3765,Hàng cá nhân & Gia dụng,Personal & Household Goods,2008,1098.0,488.0,0.0,http://32jsc.com,3.6,0.13,0.137,0.477,6.8,6.8,CT,A32,,,,
84,HOSE,Tập đoàn ASG,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,0.0,0.0,0.009,http://www.asg.net.vn,3.5,0.015,0.064,0.11,75.7,75.7,CT,ASG,,,,
85,HOSE,Tập đoàn Sao Mai,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,1997,11973.0,20862.0,0.027,http://www.saomainews.vn,3.9,-0.012,-0.071,-0.161,336.5,336.5,CT,ASM,,,,
86,HOSE,Dầu khí An Pha,275.0,7573,"Điện, nước & xăng dầu khí đốt",Utilities,2004,1520.0,4360.0,0.49,http://www.anphapetrol.com,3.3,-0.012,0.082,-0.314,37.3,37.3,CT,ASP,,,,
87,UPCOM,NTACO,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2007,317.0,0.0,0.0,http://www.ntacocorp.com.vn,3.6,0.013,-0.02,-0.384,12.0,12.0,CT,ATA,,,,
88,UPCOM,An Trường An,166.0,1775,Tài nguyên Cơ bản,Basic Resources,2007,11.0,1322.0,0.001,http://www.atajsc.vn,3.8,-0.074,-0.129,-0.16,15.2,15.2,CT,ATG,,,,
89,UPCOM,Công ty An Thịnh,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004,42.0,314.0,0.001,http://www.anthinhjsc.com,3.6,-0.112,-0.159,-0.348,13.9,13.9,CT,ATB,,,,
90,HNX,"ATESCO.,JSC",261.0,5757,Du lịch và Giải trí,Travel & Leisure,1998,103.0,109.0,0.0,http://www.atesco.vn,3.6,0.013,0.064,-0.202,3.5,3.5,CT,ATS,,,,
91,UPCOM,Thủy sản Việt An,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2007,1168.0,1949.0,0.001,http://www.anvifish.com,3.5,0.213,0.064,-0.383,43.3,43.3,CT,AVF,,,,
92,UPCOM,Thủy điện A Vương,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2012,154.0,146.0,0.0,http://avuong.com,4.1,0.0,0.053,0.485,75.1,75.1,CT,AVC,,,,
93,UPCOM,Công ty 482,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004,236.0,0.0,0.005,http://www.congty482.com.vn,3.4,0.213,-0.079,-0.383,5.0,5.0,CT,B82,,,,
94,HOSE,Nông nghiệp BAF Việt Nam,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2017,946.0,333.0,0.003,http://baf.vn,3.6,0.018,0.176,-0.029,143.5,143.5,CT,BAF,,,,
95,UPCOM,Bao bì Balpac,184.0,2723,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2005,28.0,142.0,0.002,http://www.balpac.com.vn,4.0,-0.137,0.008,-0.051,2.0,2.0,CT,BAL,,,,
96,UPCOM,Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,259.0,5753,Du lịch và Giải trí,Travel & Leisure,2008,26.0,104.0,0.0,http://www.ksbanggiangcaobang.com.vn,3.3,0.013,0.064,0.302,1.8,1.8,CT,BCV,,,,
97,HNX,Đầu tư SX Bảo Ngọc,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,2012,10.0,0.0,0.007,https://banhbaongoc.vn,3.9,-0.051,-0.158,-0.389,25.0,25.0,CT,BNA,,,,
98,UPCOM,Cao su Bà Rịa,150.0,1353,Hóa chất,Chemicals,2010,0.0,1383.0,0.0,http://www.baruco.com.vn,3.5,0.107,0.103,0.408,112.5,112.5,CT,BRR,,,,
99,UPCOM,Chè Bàu Cạn,216.0,3537,Thực phẩm và đồ uống,Food & Beverage,1996,,268.0,0.0,http://www.catecka.com,3.4,,,,11.9,11.9,CT,CBC,,,,
100,UPCOM,Cấp nước Bạc Liêu,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2015,90,117.0,0.0,http://www.capnuocbaclieu.com.vn,3.7,0.013,0.064,0.52,11.2,11.2,CT,BLW,,,,
101,HOSE,Bánh kẹo BIBICA,218.0,3577,Thực phẩm và đồ uống,Food & Beverage,1999,816,0.0,0.008,http://www.bibica.com.vn,3.8,0.08,0.169,0.25,18.8,18.8,CT,BBC,,,,
102,UPCOM,VLXD Biên Hòa,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2005,675,1005.0,0.0,http://www.bbcc.com.vn,3.7,-0.015,0.035,-0.062,46.8,47.0,CT,VLB,,,,
103,UPCOM,Bao bì Hoàng Thạch,184.0,2723,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1999,152,246.0,0.0,http://www.baobihoangthach.vn,3.5,0.013,0.691,0.21,2.0,2.0,CT,BBH,,,,
104,HNX,Bao bì Xi măng Bút Sơn,184.0,2723,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2002,483,452.0,0.006,https://butsonpackaging.vn/,3.7,0.108,0.159,0.401,6.0,6.0,CT,BBS,,,,
105,UPCOM,Bông Bạch Tuyết,228.0,3767,Hàng cá nhân & Gia dụng,Personal & Household Goods,1997,262,1539.0,0.008,http://www.bongbachtuyet.com.vn,3.3,0.169,0.158,-0.236,9.8,9.8,CT,BBT,,,,
106,UPCOM,Công ty 397,160.0,1771,Tài nguyên Cơ bản,Basic Resources,2010,410,308.0,0.0,http://www.congtycophan397.com.vn,3.7,0.013,0.064,0.302,5.0,5.0,CT,BCB,,,,
107,HNX,Xi măng Bỉm Sơn,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,1356,0.0,0.012,http://ximangbimson.com.vn/,3.4,-0.012,0.072,-0.131,123.2,123.2,CT,BCC,,,,
108,HOSE,XD và GT Bình Dương,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2002,135,1927.0,0.014,http://www.becamexbce.com.vn,3.7,-0.031,-0.033,-0.321,35.0,35.0,CT,BCE,,,,
109,HOSE,Bamboo Capital,299.0,8775,Dịch vụ tài chính,Financial Services,2011,42,27151.0,0.019,http://www.bamboocap.com.vn,3.7,-0.026,-0.104,-0.384,533.5,533.5,CT,BCG,,,,
110,UPCOM,Dược Enlie,238.0,4577,Y tế,Health Care,2005,291,510.0,0.003,http://www.becamexpharma.vn,3.4,0.066,0.105,0.236,6.0,6.0,CT,BCP,,,,
111,HNX,Sách Bình Định,256.0,5557,Truyền thông,Media,2007,29,115.0,0.0,http://www.sachthietbibinhdinh.com.vn,3.7,-0.139,0.034,0.297,1.1,1.1,CT,BDB,,,,
112,UPCOM,Vật liệu và XD Bình Dương,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2010,429,280.0,0.0,http://www.vlxdbd.com.vn,3.8,0.013,-0.054,-0.163,100.0,100.0,CT,MVC,,,,
113,HOSE,Phân bón Bình Điền,151.0,1357,Hóa chất,Chemicals,2011,1234,1931.0,0.044,https://binhdien.com/,3.6,-0.011,-0.009,-0.173,57.2,57.2,CT,BFC,,,,
114,UPCOM,May mặc Bình Dương,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2007,2045,273.0,0.012,http://www.protradegarment.com,4.2,-0.006,0.026,0.74,24.8,24.8,CT,BDG,,,,
115,UPCOM,Thủy điện Buôn Đôn,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2009,60,405.0,0.0,http://www.thuydienbuondon.vn,3.8,0.019,0.024,0.399,65.5,65.5,CT,BSA,,,,
116,UPCOM,Sản xuất - XNK Bình Dương,217.0,3573,Thực phẩm và đồ uống,Food & Beverage,2010,849,296.0,0.0,http://www.protrade.com.vn,3.7,-0.104,-0.106,-0.267,300.0,300.0,CT,PRT,,,,
117,UPCOM,Cấp thoát nước Bình Định,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2010,367,391.0,0.001,http://binhdinhwaco.com.vn/,4.4,-0.134,-0.33,0.39,12.4,12.4,CT,BDW,,,,
118,HNX,Sách Đà Nẵng,256.0,5557,Truyền thông,Media,2009,89,267.0,0.0,http://www.danangbook.com,3.4,0.013,0.064,0.208,3.0,3.0,CT,BED,,,,
119,UPCOM,Điện tử Biên Hoà,223.0,3743,Hàng cá nhân & Gia dụng,Personal & Household Goods,2003,41,202.0,0.0,http://www.belco.com.vn,3.6,0.013,0.064,0.277,6.0,6.0,CT,BEL,,,,
120,UPCOM,Cấp thoát nước Bến Tre,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2006,279,357.0,0.005,http://www.capnuocbentre.vn,4.3,-0.009,0.129,0.147,29.4,29.4,CT,NBT,,,,
121,UPCOM,Nước sạch Bắc Giang,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2005,264,287.0,0.0,http://www.bacgiangwsc.com.vn,3.7,0.013,-0.064,0.091,18.1,18.1,CT,BGW,,,,
122,UPCOM,Thủy điện Bắc Hà,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2008,52,238.0,0.0,http://www.thuydienbachalaocai.com.vn,3.7,-0.084,-0.063,0.526,66.0,66.0,CT,BHA,,,,
